#TEMPLATE square
-42.6379560232 -114.106100678
-55.812470101 -102.931586601
-64.6052341552 -88.1715444144
-70.1505195105 -71.812128473
-74.5227841111 -55.0955813046
-77.5267873615 -38.1066186335
-79.7092147383 -20.9643759108
-81.6379560232 -3.82454441387
-81.6379560232 13.4591380189
-81.6379560232 30.7428204517
-81.6379560232 48.0265028845
-81.6379560232 65.3101853173
-81.6379560232 82.5938677501
-79.9678130003 99.7498289698
-77.1531661303 116.802638679
-75.6379560232 133.960918489
-72.6967993273 150.776212713
-59.7790843585 155.146380604
-42.6821078487 152.614492439
-25.5207042039 150.893899322
-8.23702177111 150.893899322
9.04666066169 150.893899322
26.3303430945 150.893899322
43.6140255273 150.893899322
60.8977079601 150.893899322
78.1783101323 150.964878987
95.3970160853 152.462157766
112.661962497 152.893899322
129.852804531 154.292667395
145.362043977 155.378906343
142.514455943 138.384577104
140.396372722 121.237186778
138.812694516 104.027031066
137.434403419 86.7983923472
136.15229912 69.5623437476
134.938021693 52.3215539189
133.825258846 35.0737297871
132.732714122 17.8246216426
131.654587633 0.574597824865
130.576461145 -16.6754259929
129.498334656 -33.9254498106
128.246671898 -51.1636237457
126.675448687 -68.3699978999
124.439991304 -85.5085045071
121.240822381 -102.492514058
118.056864387 -119.479408834
109.28944324 -131.106100678
92.350528068 -134.199103571
75.2233299968 -136.454846676
58.0185232475 -138.092493785
40.796608674 -139.551335503
23.5679699557 -140.9296266
6.29133522764 -141.106100678
-10.9923472052 -141.106100678
-28.276029638 -141.106100678
-45.5597120708 -141.106100678
-62.8433945036 -141.106100678
-80.1270769364 -141.106100678
-97.4086478807 -141.049012393
-114.645107049 -139.77223764
-131.904151493 -139.106100678
-149.184067595 -139.041852258
-166.35427359 -137.106100678
-183.637956023 -137.106100678
#END square
#TEMPLATE square
-42.6379560232 -114.106100678
-55.812470101 -102.931586601
-64.6052341552 -88.1715444144
-70.1505195105 -71.812128473
-74.5227841111 -55.0955813046
-77.5267873615 -38.1066186335
-79.7092147383 -20.9643759108
-81.6379560232 -3.82454441387
-81.6379560232 13.4591380189
-81.6379560232 30.7428204517
-81.6379560232 48.0265028845
-81.6379560232 65.3101853173
-81.6379560232 82.5938677501
-79.9678130003 99.7498289698
-77.1531661303 116.802638679
-75.6379560232 133.960918489
-72.6967993273 150.776212713
-59.7790843585 155.146380604
-42.6821078487 152.614492439
-25.5207042039 150.893899322
-8.23702177111 150.893899322
9.04666066169 150.893899322
26.3303430945 150.893899322
43.6140255273 150.893899322
60.8977079601 150.893899322
78.1783101323 150.964878987
95.3970160853 152.462157766
112.661962497 152.893899322
129.852804531 154.292667395
145.362043977 155.378906343
142.514455943 138.384577104
140.396372722 121.237186778
138.812694516 104.027031066
137.434403419 86.7983923472
136.15229912 69.5623437476
134.938021693 52.3215539189
133.825258846 35.0737297871
132.732714122 17.8246216426
131.654587633 0.574597824865
130.576461145 -16.6754259929
129.498334656 -33.9254498106
128.246671898 -51.1636237457
126.675448687 -68.3699978999
124.439991304 -85.5085045071
121.240822381 -102.492514058
118.056864387 -119.479408834
109.28944324 -131.106100678
92.350528068 -134.199103571
75.2233299968 -136.454846676
58.0185232475 -138.092493785
40.796608674 -139.551335503
23.5679699557 -140.9296266
6.29133522764 -141.106100678
-10.9923472052 -141.106100678
-28.276029638 -141.106100678
-45.5597120708 -141.106100678
-62.8433945036 -141.106100678
-80.1270769364 -141.106100678
-97.4086478807 -141.049012393
-114.645107049 -139.77223764
-131.904151493 -139.106100678
-149.184067595 -139.041852258
-166.35427359 -137.106100678
-183.637956023 -137.106100678
#END square
#TEMPLATE square
-42.6379560232 -114.106100678
-55.812470101 -102.931586601
-64.6052341552 -88.1715444144
-70.1505195105 -71.812128473
-74.5227841111 -55.0955813046
-77.5267873615 -38.1066186335
-79.7092147383 -20.9643759108
-81.6379560232 -3.82454441387
-81.6379560232 13.4591380189
-81.6379560232 30.7428204517
-81.6379560232 48.0265028845
-81.6379560232 65.3101853173
-81.6379560232 82.5938677501
-79.9678130003 99.7498289698
-77.1531661303 116.802638679
-75.6379560232 133.960918489
-72.6967993273 150.776212713
-59.7790843585 155.146380604
-42.6821078487 152.614492439
-25.5207042039 150.893899322
-8.23702177111 150.893899322
9.04666066169 150.893899322
26.3303430945 150.893899322
43.6140255273 150.893899322
60.8977079601 150.893899322
78.1783101323 150.964878987
95.3970160853 152.462157766
112.661962497 152.893899322
129.852804531 154.292667395
145.362043977 155.378906343
142.514455943 138.384577104
140.396372722 121.237186778
138.812694516 104.027031066
137.434403419 86.7983923472
136.15229912 69.5623437476
134.938021693 52.3215539189
133.825258846 35.0737297871
132.732714122 17.8246216426
131.654587633 0.574597824865
130.576461145 -16.6754259929
129.498334656 -33.9254498106
128.246671898 -51.1636237457
126.675448687 -68.3699978999
124.439991304 -85.5085045071
121.240822381 -102.492514058
118.056864387 -119.479408834
109.28944324 -131.106100678
92.350528068 -134.199103571
75.2233299968 -136.454846676
58.0185232475 -138.092493785
40.796608674 -139.551335503
23.5679699557 -140.9296266
6.29133522764 -141.106100678
-10.9923472052 -141.106100678
-28.276029638 -141.106100678
-45.5597120708 -141.106100678
-62.8433945036 -141.106100678
-80.1270769364 -141.106100678
-97.4086478807 -141.049012393
-114.645107049 -139.77223764
-131.904151493 -139.106100678
-149.184067595 -139.041852258
-166.35427359 -137.106100678
-183.637956023 -137.106100678
#END square
#TEMPLATE square
-42.6379560232 -114.106100678
-55.812470101 -102.931586601
-64.6052341552 -88.1715444144
-70.1505195105 -71.812128473
-74.5227841111 -55.0955813046
-77.5267873615 -38.1066186335
-79.7092147383 -20.9643759108
-81.6379560232 -3.82454441387
-81.6379560232 13.4591380189
-81.6379560232 30.7428204517
-81.6379560232 48.0265028845
-81.6379560232 65.3101853173
-81.6379560232 82.5938677501
-79.9678130003 99.7498289698
-77.1531661303 116.802638679
-75.6379560232 133.960918489
-72.6967993273 150.776212713
-59.7790843585 155.146380604
-42.6821078487 152.614492439
-25.5207042039 150.893899322
-8.23702177111 150.893899322
9.04666066169 150.893899322
26.3303430945 150.893899322
43.6140255273 150.893899322
60.8977079601 150.893899322
78.1783101323 150.964878987
95.3970160853 152.462157766
112.661962497 152.893899322
129.852804531 154.292667395
145.362043977 155.378906343
142.514455943 138.384577104
140.396372722 121.237186778
138.812694516 104.027031066
137.434403419 86.7983923472
136.15229912 69.5623437476
134.938021693 52.3215539189
133.825258846 35.0737297871
132.732714122 17.8246216426
131.654587633 0.574597824865
130.576461145 -16.6754259929
129.498334656 -33.9254498106
128.246671898 -51.1636237457
126.675448687 -68.3699978999
124.439991304 -85.5085045071
121.240822381 -102.492514058
118.056864387 -119.479408834
109.28944324 -131.106100678
92.350528068 -134.199103571
75.2233299968 -136.454846676
58.0185232475 -138.092493785
40.796608674 -139.551335503
23.5679699557 -140.9296266
6.29133522764 -141.106100678
-10.9923472052 -141.106100678
-28.276029638 -141.106100678
-45.5597120708 -141.106100678
-62.8433945036 -141.106100678
-80.1270769364 -141.106100678
-97.4086478807 -141.049012393
-114.645107049 -139.77223764
-131.904151493 -139.106100678
-149.184067595 -139.041852258
-166.35427359 -137.106100678
-183.637956023 -137.106100678
#END square
